Item	Category
Ν. Περπινιάν, Οθων και Αμαλία, βασιλεύς και βασίλισσα της Ελλάδος: ύμνοι Β’ τη αρχαία ελληνίδι φωνί και μέτρω. Εκ της τυπογραφίας του Βυζαντοδείκτου, Εν Κωνσταντινουπόλει, 1854.	poem
1803-1863 Σούτσος Αλέξανδρος, Η παλαιά και νέα Ελλάς. Εν Αθήναις: Εκ της τυπογραφίας Νικολάου Αγγελίδου, 1849.	poem
Μεγδάνος Χαρίσιος, Ελληνικόν πάνθεον: η συλλογή της μυθικής ιστορίας των παρά τοις αρχαίοις Ελλησι μυθολογουμένων Θεών ... Μαυθία Τράτνερ,, [Κοζάνη], 1812.	prose
Δούκας Νεόφυτος, Παραίνεσις προς τους εν Βιέννη φιλογενείς Έλληνας εις σύστασιν σχολείου Ελληνικού. εκ της τυπογραφίας Γεωργίου Βενδώτου,, Εν Βιέννη, 1810.	essay
Μ. Ι. Πανταζής, Πλατωνικά: προς τας περί αυτών κρίσεις, Απέλτου και Ρίττηρου. Εκ του τυπογραφείου των αδελφών Περρή, Αθηνήσιν, 1899.	essay
Λάμπρος Σπυρίδων Π., Πλουτάρχεια απανθίσματα εν τω Αγιορείτικω κώδικι της Μονής Διονυσίου. Τυπογραφείον “Παλιγγενεσία”, Αθήνησι, 1888.	essay
Μαρκοράς Γεράσιμος, Ποιητικά έργα. Ι. Ναχαμούλη, Εν Κερκύρα, 1890.	poem
Γ. Βερναρδάκης, Ποικίλα φιλολογικά: απόσπασμα εκ της επετηρίδος του Παρνασσού. Εκ του Τυπογραφείου της Εστίας, Εν Αθήναις, 1900.	essay
1762-1827 Κοδρικάς Παναγιώτης, Προς τους ελλογιμοτάτους νέους εκδότας του Λόγιου Ερμού : εις Βιένναν της Αουστρίας. Παρίσι: [χ.ό], 1816.	essay
Ξενόπουλος Γρηγόριος, Στρατιωτικά διηγήματα. Εκδότης Γεώργιος Κασδόνης, Εν Αθήναις, 1892.	prose
 David Jules, Συνοπτικός παραλληλισμός της ελληνικής και γραικικής, ή απλοελληνικής γλώσσης. Εκ της τυπογραφίας Ι. Μ. Εβεράρτου, Εν Παρισίοις, 1820.	essay
1852-1934 Άννινος Μπάμπης, Τα πρώτα έτη του Ζαν Μωρεάς. Εν Αθήναις: Δ. και Π. Δημητράκου, 1860.	prose
Δ. Ν. Δάρβαρις, Τέτταρα μικρά ποιημάτια: ων τα μεν δύο πρώτα ηρωελέγεια εγκωμιαστικά εις τους τρισέβαστους αυτοκράτορας Αυστρίας και Ρωσσίας Φραγκίσκον και Αλέξανδρον τους ειρηνόφιλους τε και ειρηνοποιούς των δε λοιπών δύο το μεν σαπφικόν εις την της Ρωσσίας μεταβολήν επί Αλέξανδρου το δε επικήδειον εις τον άωρον θάνατον της σεβαστής Βιρτεμβέργης Ανάσσης Αικατερίνης. παρά τω τυπογράφω Δημητρίω Δαβιδοβίκη, Βιέννη, 1819.	poem
Σερούϊος Γεώργιος, Τη σεπτή σκιά του μεγαλωνύμου και μεγαλόδοξου Μεσολογγίου αφιερώται. εκ της Εθνικής Τυπογραφίας, Εν Αιγίνη, 1828.	poem
Γ. Σκόκος, Το μέλλον της Ελλάδος, ή, Η λύσις του Ανατολικού Ζητήματος. Εκ του τυπογρ. Νικολάου Αγγελίδου, Εν Αθήναις, 1852.	poem
1803-1863 Σούτσος Αλέξανδρος, Το πανόραμα της Ελλάδος, Εκδοσις νέα, Μετά συντόμου βιογραφίας του ποιητού /. Εν Αθήναις: Εκ του τυπογρ. των αδελφών Περρή, 1875.	poem
Σ. Νικολαίδης, Το πνεύμα των εξοχωτέρων αρχαίων φιλοσόφων, ποιητών, και ρητόρων Ελλήνων: ήτοι συλλογή γνωμικών, αξιωμάτων, παραγγελμάτων, και αποφθεγμάτων, αφορώντων την ηθικήν πολιτικήν, και εν γένει την τέχνην του ανθρωπίνου βίου. Εκ της τυπογραφίας Γ. Μελιστάγους, Εν Ερμούπολει της νήσου Σύρου, 1839.	essay
1836-1904 Ροΐδης Εμμανουήλ Δ., Το “ταξίδι” του Ψυχάρη : γλωσσική μελέτη. Εν Αθήναις: “Εστία,” 1888.	essay
Ι. Π. Κόκκαλης, Το φάσμα της προκυμαίας Πατρών: μυθιστορικόν δοκίμιον και διάφορα ποιήματα. Τυπογραφείον η “Αυγή”, Εν Ζακύνθω, 1869.	prose
Δ. Φωτιάδης, Ύμνοι του πρωτομάρτυρος Ρήγα του Φεραίου: μετά συντόμως βιογραφία αυτού. Εκ του Τυπογραφείου της Φιλοκαλίας, Αθήνησι, 1878.	poem
Σούτσος Παναγιώτης, Υμνος εις την ηρωΐδα Καλλιόπη Παπαλεξοπούλου. Τύποις Δ. Δράκου, Εν Αθήναις, 1863.	poem
Κοραής Αδαμάντιος, Ατακτα, ήγουν παντοδαπών εις την αρχαίαν και την νέαν ελληνικήν γλώσσαν αυτοσχέδιων σημειώσεων, και τινών άλλων υπομνημάτων, αυτοσχέδιος συναγωγή. Εκ της τυπογραφίας Κ.Εβεράρτου,, Εν Παρισίοις, 1828.	manual
 Παράρτημα ιερομνήμονος. χ.τ.: [χ.ό.], 1850.	essay
Θεόκριτος, Θεόκριτος: παραφρασθείς, σχολιασθείς τε και εκδοθείς υπό Νεόφυτου Δούκα εις τόμους δύο. Εκ της τυπογραφίας Ανδρέου Κορομηλά, Εν Αιγίνη, 1839.	essay
A. Roger, Οι Γενίτσαροι : μυθιστορικόν διήγημα του Αλφόνσου Ρουέρου ; μεταφρασθέν εκ του γαλλικού. Εκ της Τυπ. των τεκ. Ανδρ. Κορομηλά,, Εν Αθήναις :, 1865.	prose
Μ. Ι. Ρώτα, Ελληνική εγκυκλοπαίδεια εκ των δοκιμωτέρων πεζογράφων και ποιητών: συλλεγείσα και εις τέσσαρας τόμους διαιρεθείσα : μετά σχολίων γραμματικών ιστορικών και γεωγραφικών και μετ’ επιτόμων φιλολογικών και κριτικών εισαγωγών : προς χρήσιν των απανταχού Ελληνικ. Παρθεναγωγείων, Τόμος 3ος και 4ος. Παρά τω Βιβλιοπώλη Νικολάω Αδαμίδη, Εν Κωνσταντινουπόλει, 1847.	essay
