Item	Category
“Ιστορική ορθογραφία: αναγκαίο κακό ή άταφος νεκρός;”  – Δοκίμιο του Δημήτρη Καλαμπούκα 	essay
“Η επερχόμενη πείνα” – Δοκίμιο του Θανάση Τριαρίδη	essay
“Το νομικό καθεστώς της παιδικής ηλικίας και της νεότητας (1833-1900)”	essay
“Μικροψυχολογία” – Δοκίμιο των Νίκου Ρούσσου & Θοδωρή Δρούλια 	essay
“Οι μεγάλοι -ισμοί” – Μελέτη του Οδυσσέα Γκιλή	essay
 “Η Τραγωδία του Ευρώ” – Δοκίμιο του Philipp Bagus 	essay
“H δυσπιστία στο έντυπο βιβλίο και η παράλληλη χρήση του χειρόγραφου”  – Δοκίμιο του Τριαντάφυλλου Σκλαβενίτη	essay
“Λέσχες Ανάγνωσης – Μιλάμε για βιβλία…” – Εγχειρίδιο	manual
“Τα ΜΜΕ σαν καθρέφτης της κοινωνίας” – Κείμενα του Noam Chomsky 	essay
“Ο δικός μου Νίκος Καζαντζάκης” – Δοκίμιο του Μπάμπη Δερμιτζάκη 	essay
“Καρυωτάκης” – Χρονοθραύσματα 30 του Βασίλη Λαλιώτη	essay
“Μικρά Αποσπάσματα για την Αυτονομία” – Δοκίμια του Κορνήλιου Καστοριάδη 	essay
“Μεγάλη επιστήμη – ενδιαφέρουσες ζωές” – Δοκίμιο του Στέφανου Τραχανά 	essay
“Το τέλος της τέχνης στον Αντόρνο και τον Ντεμπόρ” – Δοκίμιο του Anselm Jappe 	essay
“Φίλων Σοφίες” – 203 αποφθέγματα // Συλλογικό έργο	essay
“Γραφτή και Δημοτική και το Γλωσσικό Ζήτημα στην Ελλάδα”  – Δοκίμιο του Karl Brugman 	essay
“Οδηγός γλωσσικής επιμέλειας για συγγραφείς”	manual
 “Το Ομότιμο Μανιφέστο” – Δοκίμιο του Βασίλη Κωστάκη 	essay
“Η ομότιμη προοπτική” – Πέρα από το κράτος και την αγορά	essay
“Γράφοντας μετά τη σιωπή” – Ενισχύοντας τις δεξιότητες αυτοβιογραφικής γραφής  ως μέσο στήριξης γυναικών που επέζησαν της έμφυλης βίας 	manual
“Η Λογοτεχνία στα νέα περιβάλλοντα των ΤΠΕ” – Δοκίμιο της Βενετίας Αποστολίδου 	essay
“50 κείμενα για την κρίση” – Συλλογικό έργο	essay
“Η Επανάσταση στη Ροζάβα” – Δοκίμιο των Μίχαελ Κναπ,  Άνγια Φλαχ και Ερτζάν Αϊμπογά	essay
“​Φροντίδα, χειρισμός και τεκμηρίωση αρχειακού υλικού στο Ιστορικό  Αρχείο της Εθνικής Τράπεζας” 	manual
“Κείμενα από το Διεθνές Συνέδριο για τη Ρωσική Επανάσταση” 	essay
“Εριστική Διαλεκτική του Σοπενχάουερ – Η τέχνη του Διαλόγου ως Εργαλείο  του Ηγέτη” – Δοκίμιο του Σωτήρη Μαργώνη 	essay
“Αίας” – Δοκίμιο για τη ρουτίνα του Δήμου Χλωπτσιούδη	essay
“Η Δημιουργική Καταστροφή στον Καπιταλισμό” – Δοκίμιο του Γιόζεφ Σουμπέτερ	essay
“Οι γυναίκες στην Ισπανική Επανάσταση” – Δοκίμιο των Μάρτα Άκελσμπερνκ,  Τέμμα Καπλάν, Λιζ Ουίλλιζ 	essay
“Μικρή εισαγωγή στην ποίηση του Paul Celan” – Δοκίμιο της Ιωάννας Αβραμίδου 	essay
“Gustave Flaubert – βιβλιοκριτικές” – Συλλογή του Μπάμπη Δερμιτζάκη 	essay
“Αντιπελάργησις”- Δοκίμιο του Βασίλη Λαλιώτη	essay
“Μίκης Θεοδωράκης: Διάλογοι στο λυκόφως” – Συνοπτική παρουσίαση της  Αναστασίας Βούλγαρη 	essay
“Γιάννης Ρίτσος (1909-2009) – Στους ποιητές αρμόζουν μόνο γενέθλια” 	poem
“Η τριλογία του πολέμου” – Δοκίμιο του Δημήτρη Γληνού	essay
“Η λαϊκότητα της κρητικής λογοτεχνίας” – Δοκίμιο του Μπάμπη Δερμιτζάκη	essay
“Αναλφάβητοι Αναγνώστες” – Δοκίμιο του Βαγγέλη Ιντζίδη	essay
“Ο υπερδρόμος της Βορείου Ευβοίας και η ελεγεία της χαμένης πορείας” –  Δοκίμιο του Δημήτρη Μπαρσάκη 	essay
 “Η κοινωνία του ελέγχου” – Δοκίμιο του Gilles Deleuze 	essay
 “Αυτονομίες και χειραφετήσεις” – Δοκίμιο του Raul Zibechi 	essay
“Για μια κριτική της βίας” – Δοκίμιο του Walter Benjamin	essay
“Γράμματα από την Ιταλία” – Συλλογή του Μιχαήλ Μπακούνιν 	essay
“Θέσεις για τη φιλοσοφία της Ιστορίας” – Δοκίμιο του Walter Benjamin 	essay
“Η Πρωταπριλιά στην ελληνική δημοσιογραφία” – Δοκίμιο του Μπάμπη Άννινου 	essay
“Ο ΙΧ άνθρωπος και οι υποθαλάσσιες αρτηρίες του” – Δοκίμιο του Κώστα Δημητρίου 	essay
 “Η μηχανή της σάρκας” – Δοκίμιο των Critical Art Ensemble 	essay
 “Περί κενών δαιμονίων” – Ομάδα Αυτομόρφωσης ενάντια  στη Βιοτεχνολογία της Κυριαρχίας 	essay
“Καταπονημένες δυνάμεις” – Δοκίμιο από την Ομάδα RETORT 	essay
“Κείμενα για την εργασία και την κρίση” – Δοκίμιο των Gruppe Krisis,  Norbert Trenkle, Anselm Jappe 	essay
“Ο Κάλιμπαν και η μάγισσα – Γυναίκες, σώμα και πρωταρχική συσσώρευση” –  Δοκίμιο της Silvia Federici 	essay
“Κοινά, περιφράξεις και κρίσεις” – Δοκίμιο του Massimo de Angelis 	essay
“Γράμμα στα παιδιά μου και στα παιδιά του κόσμου που έρχεται” –  Δοκίμιο του Raoul Vaneigem 	essay
“Όλα όσα θέλατε να μάθετε για τις ελληνογερμανικές σχέσεις στην κρίση,  αλλά δεν τολμάνε να σας πουν” – Δοκίμιο του Stephan Kaufmann 	essay
“Η Χρυσή Αυγή μπροστά στη δικαιοσύνη” – Δοκίμιο του Δημήτρη Ψαρρά 	essay
“Το ‘γερμανικό εργασιακό θαύμα’ – Μοντέλο για την Ευρώπη;” 	essay
“Διατλαντική Εταιρική Σχέση Εμπορίου και Επενδύσεων (TTIP)” 	essay
“Η μετανάστευση στην Ελλάδα” – Έντεκα μύθοι και περισσότερες αλήθειες 	essay
“5 χρόνια κρίσης του Ευρώ” – Πλάνες, συμφέροντα και κερδισμένοι 	essay
“Η λογοκρισία στην Ελλάδα” – Συλλογικό έργο	essay
“Οι αδελφοί Σούτσοι και η πολιτική ποίησις επί Όθωνος” –  Δοκίμιο του Γ. Τσοκόπουλου 	essay
 “Ιούλιος Τυπάλδος” – Δοκίμιο του Κωστή Παλαμά 	essay
 “Ο Σολωμός και η Ζάκυνθος” – Δοκίμιο του Αντωνίου Μάτεση 	essay
 “Βιζυηνός και Κρυστάλλης” – Δοκίμιο του Κωστή Παλαμά 	essay
 “Γεώργιος Τερτσέτης” – Δοκίμιο του Διονυσίου Στεφάνου 	essay
 “Βαλκάνια και Βλάχοι” – Δοκίμιο του Αχιλλέα Γ. Λαζάρου 	essay
 “Νεοελληνικά υστερόγραφα” – Δέκα μελέτες νεοελληνικής φιλολογίας του  Κ. Μητσάκη 	essay
 “Ανδρέας Λασκαράτος” – Δοκίμιο του Ιωάννου Ζερβού 	essay
 “Πολυλάς, Μαρκοράς και η Σχολή της Κέρκυρας” – Δοκίμιο του Θ. Βελλιανίτου 	essay
 “Τι μας οφείλει η αρχαιότητα” – Δοκίμιο του Παναγιώτη Γ. Νικολόπουλου 	essay
“Οι Γλώσσες του Κόσμου, οι Κόσμοι της Γλώσσας” – Δοκίμιο του Αλέξη Καρπούζου 	essay
“Εισαγωγή στην Κατανοητική Φιλοσοφία” – Δοκίμιο του Αλέξη Καρπούζου 	essay
 “Αφύπνιση της κοσμικής συνείδησης” – Δοκίμιο του Αλέξη Καρπούζου 	essay
“Πενήντα χρόνια ποιητής, πενήντα χρόνια ασκητής” – Δοκίμιο του Μιχάλη Α. Μελετίου	essay
“Η ελληνική ως δεύτερη γλώσσα: Καθορισμός επιπέδων γλωσσομάθειας του  προφορικού λόγου αλλοδαπών μαθητών” 	manual
“Κλειδιά και αντικλείδια: Ταυτότητες και λογοτεχνία στο σχολείο” 	manual
 “Κλειδιά και αντικλείδια: Ανάγνωση και ετερότητα” 	manual
“Δημιουργική γραφή”	manual
“Έντυπη ενημέρωση” – Κριτική ανάγνωση εφημερίδων	manual
 “Λογοτεχνία: Έλληνες και Ξένοι Λογοτέχνες” 	manual
 “Η Δικτατορία των ειδώλων” – Δοκίμιο του Κώστα Χατζιδάκη 	essay
 “Κράτος και Επανάσταση” του Βλαντίμιρ Ιλίτς Λένιν 	essay
 “Ανατομία του Κράτους” – Δοκίμιο του Murray Rothbard 	essay
 “Οι μυθοσυλλέκτες” – Δοκίμιο του Γιάννη Αντάμη 	essay
 “Διαμαρτύρομαι” – Δοκίμιο του Δημητρίου Σωνίτη 	essay
 «Κείμενα για τον Μαρξ» – Δοκίμιο του Φρίντριχ Ένγκελς 	essay
 “Ο καρκίνος δεν είναι αήττητος” – Δοκίμιο του Ζήση Κατσαρίκα 	essay
 «Προς μία ανθρωπολογία της ανοσολογίας – Το σώμα ως έθνος-κράτος» –  Δοκίμιο της Emily Martin 	essay
 “Διαφήμιση και γυναικείο σώμα” – Συλλογικό έργο 	essay
 “Δύο κείμενα για το ποδόσφαιρο” – Συλλογικό έργο 	essay
 “Οικονομική κρίση & αυτοοργάνωση” – Συλλογικό έργο 	essay
 “Επισφαλής Ραψωδία” – Δοκίμιο του Franco «Bifo» Berardi 	essay
 “Το ξεκίνημα της Ιστορίας” – Δοκίμιο του Massimo de Angelis 	essay
 “10 συνεντεύξεις του Κορνήλιου Καστοριάδη” 	essay
 “Η Δίωξη των Χάκερ” – Δοκίμιο του Bruce Sterling 	essay
 “CosmoWave” – Δοκίμιο του Νίκου Βλαντή 	essay
 “Νέα Γενιά” – Δοκίμιο του Αρχοντή Χρυσουλά 	essay
 “Αθιβολές” – Δοκίμιο / Μαρτυρία του Μανώλη Παπαδάκη 	essay
“Ο Μπέρτραντ Ράσσελ και η μετεμφυλιακή Ελλάδα” –  Δοκίμιο του Γιώργου Καλπαδάκη	essay
 “Ξαναπιάνοντας το νήμα” – Δοκίμιο του Γιώργου Λιερού 	essay
 “Τα κερασάκια” – Προτάσεις σοφίας του Στέλιου Κερασίδη 	essay
 “Πλωτίνος Ροδοκανάκης – Ένας Έλληνας Αναρχικός” – Βιογραφία  του Τέου Ρόμβου 	essay
 “Ερρίκος Ίψεν” – Δοκίμιο του Γεωργίου Βιζυηνού 	essay
 “Σκέπτινγκ: Περί Νεολογείν” – Φιλοσοφικό δοκίμιο του Αντώνη Γαβαλά 	essay
 “7 δοκίμια” – Συλλογή του Δήμου Χλωπτσιούδη 	essay
 “Ο χορός των ποιητών / Τάκης Μιχόπουλος” – Δοκίμιο του Θανάση Πάνου 	essay
 “Το μανιφέστο του … Σχετικού!” – του Σωκράτη Α. Τσελεγκαρίδη 	essay
 “Η κρίση των δικαιωμάτων” – Δοκίμιο του Δημήτρη Χριστόπουλου 	essay
“Δημιουργική γραφή – Οδηγίες πλεύσεως” του Μίμη Σουλιώτη 	essay
 “Η μεσαία τάξη στην αγχόνη της κρίσης” – Πολιτικό δοκίμιο του Δήμου  Χλωπτσιούδη 	essay
 “Οι αρβύλες” – Αναμνήσεις ζωής του Κώστα Πατρίκιου 	essay
 “Παραπλανημένος άνθρωπος” – Δοκίμιο του Παντελή Γαβρίλη-Αιγινήτη 	essay
 “Δια-κριτικές ματιές στη λογοτεχνική έκφραση” – Συλλογικό έργο 	essay
“Το κόψε-κόψε ή Όταν οι γκοτζίλες εξανθρωπίζονται” – Δοκίμιο του  Θανάση Τριαρίδη 	essay
 “Η πολιτική βία είναι πάντοτε φασιστική” – Συλλογική έκδοση 	essay
 «Στέλλα Origami» – Νουβέλα της Μικέλας Φερούση 	prose
 «Το πάθος του Κριστιάν ή φωνές από τη χαράδρα» –  Μυθιστόρημα του Αύγουστου Κορτώ 	prose
 «Κρυπτόν Άστυ» – Νουβέλα του Στέλιου Παπαγρηγορίου 	prose
«Σε παλιές πατημασιές» – Μυθιστόρημα του Βασίλη Γρηγοριάδη	prose
«Οι ψίθυροι στους τοίχους» – Μυθιστόρημα της Κατίνας Βλάχου 	prose
 «Ο μολυβοποιός» – Νουβέλα της Μικέλας Φερούση 	prose
«Επιχείρηση 79» - Θεόφιλος Κάλος	prose
 «Οι σχοινοβάτες» – Μυθιστόρημα της Αφροδίτης Κουκουτσάκη 	prose
Δεν θα γίνει επανάσταση στο μικρό χωριό απόψε	prose
 «Η Βιβλιοθηκάριος των Χριστουγέννων» – Νουβέλα της Νιόβης Λύρη 	prose
ΠΕΡΙ ΤΟΥ ΚΟΣΜΟΥ - πύρρων ηλειόπουλος	prose
 «In Absentia» – Νουβέλα της Μικέλας Φερούση 	prose
“Ich Bebe” 	prose
 «Σιωπηλή πέτρα» – Μυθιστόρημα της Ευρυδίκης Αμανατίδου 	prose
 «Ζονγκ» – Μυθιστόρημα του Παντελή Γαβρίλη-Αιγινήτη 	prose
 «Το Χρονικό Ενός Τυχαίου Θανάτου» – Μυθιστόρημα του Μιχάλη Κατράκη 	prose
 «Πανσέληνος 2» – Νουβέλα του Γιώργου Γλυκοφρύδη 	prose
 «Ο δυσκοίλιος μπάτλερ» – Νουβέλα του Γιώργου Γλυκοφρύδη 	prose
 «Ακροπατώντας στην άκρη του ονείρου» – Νουβέλα του Γιάννη Πιταροκοίλη 	prose
 «Cafe Βυζάντιο» – Μυθιστόρημα του Κώστα Χατζιδάκη 	prose
 «Η Σύναξις των Οπαδών της Σόδας» – Μυθιστόρημα του Στέλιου Παπαγρηγορίου 	prose
«Οι Μελανές Εκτάσεις» – Μυθιστόρημα του Στέλιου Παπαγρηγορίου	prose
 «Για κοίτα» – Μυθιστόρημα του Σίμου Πανόπουλου 	prose
 «Το Στιλέτο» – Μυθιστόρημα του Λάκη Φουρουκλά 	prose
 «Το χάρτινο σπέρμα» – Μυθιστόρημα της Κώστιας Κοντολέων 	prose
 «Ο Εξωγήινος της Διπλανής Πόρτας» – Μυθιστόρημα του Αύγουστου Κορτώ 	prose
 «Η ιστορία του Νεμάνια» – Νουβέλα του Ελ Ρόι [+3 τραγούδια] 	prose
 «Αφήγηση» – Νουβέλα του Μάνου Κοντολέων 	prose
 «Αούντι Γλεν» – Μυθιστόρημα του Στέλιου Παπαγρηγορίου 	prose
 «Το βιβλίο των βίτσιων» – Μυθιστόρημα του Αύγουστου Κορτώ 	prose
 «Ο άνεμος σφυρίζει στην Κουπέλα» – Μυθιστόρημα του Θανάση Τριαρίδη 	prose
 «Σεμίνα: Ο Γολγοθάς και οι Αναστεναγμοί της Λύτρωσης» –  Μυθιστόρημα της Μαρίας Σεφέρου 	prose
 «Ο δαιμονιστής» – Μυθιστόρημα του Αύγουστου Κορτώ 	prose
 «Η λαιμαργία» – Μυθιστόρημα του Αύγουστου Κορτώ 	prose
 «Αποφάσισα να σκοτώσω τον Ερμόλαο» – Μυθιστόρημα του Μάνου Κοντολέων 	prose
 «Ο Έρωτας στα Χρόνια της Γκαρσονιέρας» – Μυθιστόρημα του Αύγουστου Κορτώ 	prose
 «Το λάθος πάθος» – Νουβέλα του Λάκη Φουρουκλά 	prose
 «Η σιωπή της πόλης» – Νουβέλα του Νίκου Καρακάση 	prose
 «Τα ουγγρικά ψάρια» – Μυθιστόρημα του Γιάννη Πλιώτα 	prose
 «Η μηλιά, μια ιστορία αγάπης» – Νουβέλα του Πάνου Μανάφη 	prose
«Τα χλωρά διαμάντια» – Μυθιστόρημα του Θανάση Τριαρίδη	prose
«Όσα χωράει μια στιγμή» – Μυθιστόρημα του Στέφανου Λίβου 	prose
«1.000.000 στιγμές» – Μυθιστόρημα του Μιχάλη Φουντουκλή 	prose
 «Ακρίδα, η ένωση της ανθρωπότητας σε ένα ζώο» –  Μυθιστόρημα του Νίκου Μπόνου 	prose
 «Γεώργιος Νέγρος, ο τίγρης του Αιγαίου» – Μυθιστόρημα του Τέου Ρόμβου 	prose
 «Ο Φύλακας στον Φάρο» – Μυθιστόρημα της Ευρυδίκης Αμανατίδου 	prose
 «Έκπτωτοι» – Μυθιστόρημα της Βάλιας Καραμάνου 	prose
 «Ο Αλκίνοος ή ο Αννίδης» – Χιουμοριστικό μυθιστόρημα των Βαγγέλη Μαμανέα,  Παναγιώτη Φωτόπουλου 	prose
«Το τέλος» – Νουβέλα του Τάκη Κουφόπουλου	prose
 «Απόλογος» – Νουβέλα του Τάκη Κουφόπουλου 	prose
 «Το μυστικό των εξωγήινων» – Μυθιστόρημα του Μπάμπη Δερμιτζάκη 	prose
 «Οι Άγιοι με τα Πορφυρά Μάτια» – Μυθιστόρημα του Μάριου Μητσόπουλου 	prose
Το άρμα του ήλιου - Συνοδινού Ράνια	prose
«Αλλού στο Λιμιώνα του Μπαρμπαμήτσου» – Νουβέλα του Δημήτρη Μπαρσάκη 	prose
«Μια ιστορία αγάπης» – 15+1 bloggers	prose
 «ΝΤΑΡΚ» – Νουβέλα του Δημήτρη Κωνσταντίνου 	prose
 «Κρούγκερ» – Νουβέλα του Δημήτρη Κωνσταντίνου 	prose
 «Unabomber» – Νουβέλα του Δημήτρη Κωνσταντίνου 	prose
 «Δυτικά της Ανατολής» – Μυθιστόρημα του Πάνου Κολιόπουλου 	prose
«Οι Θρύλοι δεν ξαποσταίνουν ποτέ» – Μυθιστόρημα του Πάνου Κολιόπουλου 	prose
 «Ο Φωτοτυπίας» – Μυθιστόρημα του Πάνου Κολιόπουλου 	prose
 «Ο Λέων των Ερτζιανών» – Μυθιστόρημα του Πάνου Κολιόπουλου 	prose
«Μωρή Σούλα, τι γινήκανε οι άντρηδοι, μωρή;» –  Μυθιστόρημα του Πάνου Κολιόπουλου 	prose
 «Αντ’ Αυτών» – Μυθιστόρημα του Πάνου Κολιόπουλου 	prose
 «I, SPIROS – Γκομενογεωγραφία (Μέρος Β’)» –  Μυθιστόρημα του Πάνου Κολιόπουλου 	prose
«I, SPIROS – Γκομενογεωγραφία (Μέρος Α’)» –  Μυθιστόρημα του Πάνου Κολιόπουλου	prose
 «SPIROS για πάντα» – Μυθιστόρημα του Πάνου Κολιόπουλου 	prose
«Θρύλοι της Γειτονιάς» – Μυθιστόρημα του Πάνου Κολιόπουλου	prose
 «Αχ, Γυναίκες!» – Μυθιστόρημα του Πάνου Κολιόπουλου 	prose
 «Τα Αλανάκια» – Μυθιστόρημα του Πάνου Κολιόπουλου 	prose
 «Το Τραγούδι της Ψυχής» – Μυθιστόρημα του Κώστα Βουλαζέρη 	prose
 «Οι Φύλακες των Πάγων» – Μυθιστόρημα του Κώστα Βουλαζέρη 	prose
 «Ο Θάνατος του Ξενιστή» – Μυθιστόρημα του Κώστα Βουλαζέρη 	prose
 «Η Χαωδία» – Νουβέλα του Κώστα Βουλαζέρη 	prose
 «Γάμος του Ήλιου και του Ανέμου» – Νουβέλα του Κώστα Βουλαζέρη 	prose
 «Θάνατος στο πάρκο» – Μυθιστόρημα της Λένας Μαυρουδή Μούλιου 	prose
«Χωρίς σημεία στίξεως σιωπή» – Μυθιστόρημα του Λευτέρη Κρητικού 	prose
«Μια σειρά από τρομαχτικά γεγονότα» –  Μυθιστόρημα του Μίνωα Αθανάσιου Καρυωτάκη 	prose
 «Το νήμα της μέλισσας» – Μυθιστόρημα του Λευτέρη Κρητικού 	prose
 «Θάνατος, Καλοκαίρι, Φθινόπωρο, Χειμώνας» –  Μυθιστόρημα της Ευτυχίας Κανάρη 	prose
 «Johnnie Society» – Μυθιστόρημα του Γιάννη Φαρσάρη 	prose
«ΕξοΡγισμός» – Μυθιστόρημα του Δημήτρη Νότα	prose
 «Δαντέλα από τον Λίγηρα» – Νουβέλα του Βασίλη Πουλημενάκου 	prose
«Σουμπέρτα» – Νουβέλα της Γιώτας Τσιλίκη	prose
 «Οι πέντε σφραγίδες και ο χαμένος πρίγκιπας» –  Μυθιστόρημα της Στέλλας Χαβενετίδου 	prose
«Εξ αίματος» – Νουβέλα της Λιλής Γάτη	prose
 «Ο Δράκος και οι σκορδοφάγοι ιππότες» –  Μυθιστόρημα της Ευρυδίκης Αμανατίδου 	prose
 «Κωδικό όνομα: Αφύπνιση» – Μυθιστόρημα του Μίνωα – Αθανάσιου Καρυωτάκη 	prose
«Λίβηθρα» – Μυθιστόρημα της Βάλιας Καραμάνου	prose
 «Εγώ και η αδερφή της» – Μυθιστόρημα του Παναγιώτη Παπανικολάου 	prose
 «ΟΛΙΣ.ΘΗΣΗ» – Μυθιστόρημα του Παύλου Κουτρουμπά 	prose
 «Όποια κι αν ήταν η μητέρα μου» – Μυθιστόρημα της Ευτυχίας Κανάρη 	prose
 «Μαύρο Κόκκινο» – Μυθιστόρημα του Άγγελου Χαριάτη 	prose
 «Σαλιώνοντας Γραμματόσημα» – Μυθιστόρημα του Δημήτρη Νότα 	prose
 «Η ακριβή ανάσα του νερού» – Μυθιστόρημα της Ευρυδίκης Αμανατίδου 	prose
 «Αραμπέλα / Τα όρια της πίστης» – Μυθιστόρημα της Ευρυδίκης Αμανατίδου 	prose
«Αντιγόνη» – Μυθιστόρημα του Σταύρου Παπανικολάου	prose
 «Πογκρόμ» – Μυθιστόρημα της Ελένης Σεμερτζίδου 	prose
 «Το φάντασμα του πέτρινου φάρου» – Μυθιστόρημα της Ελένης Σεμερτζίδου 	prose
 «Ψυχική Ανατολή» – Νουβέλα του Βασίλη Δημητριάδη 	prose
 «Δυο φωνές και μια σιωπή» – Μυθιστόρημα του Λάκη Φουρουκλά 	prose
 «Τη λένε Χαρά» – Νουβέλα του Λάκη Φουρουκλά 	prose
 «Κείμενο πάθος» – Μυθιστόρημα του Τέου Ρόμβου 	prose
 «Πλάνος δρόμος» – Μυθιστόρημα του Τέου Ρόμβου 	prose
 «Λευκό χαρτί» – Μυθιστόρημα του Αντώνη Γαβαλά 	prose
 «Οι κόρες της Αφροδίτης» – Μυθιστόρημα του Μιχάλη Πιτένη 	prose
 «Ο αέρας» – Νουβέλα του Στέφανου Παπαχρήστου 	prose
 «Βασιλιάς της Περγάμου» – Ιστορικό μυθιστόρημα του Ευστράτιου 	prose
 «Το μάτι του Ελέφαντα» – Φιλοσοφικό μυθιστόρημα του Χριστόφορου Ακριτίδη 	prose
 «Give Or Die» – Μυθιστόρημα του Νίκου Τσάμη 	prose
 «Ο Συντονιστής» – Μυθιστόρημα του Νίκου Τσάμη 	prose
 «Ο Μπάντυ» – Μυθιστόρημα του Νίκου Τσάμη 	prose
 «Ο αυτουργός» – Μυθιστόρημα του Νίκου Φάκου 	prose
 «Πρωινό Ιντερσίτυ» – Μυθιστόρημα της Νιόβης Λύρη 	prose
 «Οι εθελοντές» – Μυθιστόρημα της Νιόβης Λύρη 	prose
 «Το Ασημένιο Ρόδο» – Μυθιστόρημα της Νιόβης Λύρη 	prose
 «Μίλα μου για ξόρκια» – Μυθιστόρημα του Νικόλα Αφρόκαλου 	prose
 «Για ένα μικρό κομμάτι χαρτί» – Μυθιστόρημα του Χριστόφορου  Παπαχαραλάμπους 	prose
 «Άνω Κάτω Τελεία» – Νουβέλα της Θεοδοσίας (Theda) Καϊδόγλου 	prose
 «Ένα κομματάκι κόσμου» – Νουβέλα της Μάρης Τσαμακίδου Παπαποστόλου 	prose
 «Το νησί της Καλυψώς» – Νουβέλα της Γεωργίας Ανδρουλιδάκη & του  Γρηγόρη Παπαδογιάννη 	prose
 «Δικλείδα ασφαλείας» – Νουβέλα της Δάφνης Χασούρου & του Νικόλα Στασινού 	prose
 «Το γράμμα» – Νουβέλα της Ρένας Τσαβαρή & του Βασίλη Χατζάκη 	prose
 «Φρίντα & Βικτώρια» (αδελφότητα γυναικών) – Νουβέλα των  Φώφης Walter-Κυρλίδου και Βάσως Αποστολοπούλου 	prose
 «Ο Λιάκος» – Μυθιστόρημα του Βαγγέλη Τσερεμέγκλη 	prose
 «Φύση των Φαινομένων» – Ποιητική συλλογή της Ελένη Γεωργίου 	poem
 «Μικρή ανθολογία σύγχρονης ανέκδοτης ελληνικής σατιρικής ποίησης» –  Μέρος Τέταρτον 	poem
 «Βίβιαν μη» – Ποιητική συλλογή του Maurice Labrador 	poem
 “Το εξώφυλλο δέρμα του κόσμου” – Ποιητική συλλογή του Πάνου Οικονόμου 	poem
 “Η πλάνη” – Ποιητική συλλογή του Βασίλη Στόικου 	poem
 “Συνουσίες και άλλα εγκλήματα” – Ποιητική συλλογή του Βασίλη Στόικου 	poem
 «Τα φώτα στα νερά» – Ποιητική συλλογή του Αντώνη Περδικούλη 	poem
 «Θλίψης Τρόπαια» – Ποιητική συλλογή του Αντώνη Περδικούλη 	poem
 “Μικρές εξορίες” – Ποιητική συλλογή της Ρούλας Τριανταφύλλου 	poem
"GNOSSIENNES" - Γιώργος Μπλάνας	poem
 “Τα Ανένταχτα ΙΙ” – Ποιητικά κείμενα του Γιώργου Σ. Κόκκινου 	poem
 “Τα Ανένταχτα” – Ποιητικά κείμενα του Γιώργου Σ. Κόκκινου 	poem
 “Στίχοι για υγρούς θανάτους” – Ποιητική συλλογή του Ντέμη Κωνσταντινίδη 	poem
 “Βαδίζοντας στα κύματα” – Ποιητική συλλογή του Τίμου Ζούμπου 	poem
 “Εκλεκτή της καρδιάς μου” – Ποιητική συλλογή του Πάνου Μιχελή 	poem
